quote,author
“The only way to achieve the impossible is to believe it is possible.”,Charles Kingsleigh
"“Success is not final, failure is not fatal: It is the courage to continue that counts.”",Winston Churchill
“Don’t watch the clock; do what it does. Keep going.”,Sam Levenson
“Believe you can and you’re halfway there.”,Theodore Roosevelt
“The only limit to our realization of tomorrow will be our doubts of today.”,Franklin D. Roosevelt
“It does not matter how slowly you go as long as you do not stop.”,Confucius
“You are never too old to set another goal or to dream a new dream.”,Les Brown
“The secret of getting ahead is getting started.”,Mark Twain
"“Good things come to people who wait, but better things come to those who go out and get them.”", Iman Gadzhi
“The best time to plant a tree was 20 years ago. The second best time is now.”,Chinese Proverb
“It always seems impossible until it is done.”,Nelson Mandela
“Great things never come from comfort zones.”,Neil Strauss
“Dream it. Wish it. Do it.”,Disney
“In the middle of difficulty lies opportunity.”,Albert Einstein
“The only way to do great work is to love what you do.”,Steve Jobs
“Don’t be pushed around by the fears in your mind. Be led by the dreams in your heart.”,Roy T. Bennett
“We may encounter many defeats but we must not be defeated.”,Maya Angelou
“The only person you are destined to become is the person you decide to be.”,Ralph Waldo Emerson
"“You don’t have to be great to start, but you have to start to be great.”",Zig Ziglar
“The only limit to our realization of tomorrow is our doubts of today.”,Franklin D. Roosevelt
“The journey of a thousand miles begins with one step.”,Lao Tzu
“Start where you are. Use what you have. Do what you can.”,Arthur Ashe
“Believe and act as if it were impossible to fail.”,Charles Kettering
“Keep your face always toward the sunshine—and shadows will fall behind you.”,Walt Whitman
"“Success is not how high you have climbed, but how you make a positive difference to the world.”",Roy T. Bennett
"“Opportunities don't happen, you create them.”",Chris Grosser
“The only place where success comes before work is in the dictionary.”,Vidal Sassoon
"“Either you run the day, or the day runs you.”",Jim Rohn
“You are never too old to set another goal or to dream a new dream.”,C.S. Lewis
“The difference between ordinary and extraordinary is that little extra.”,Jimmy Johnson
“Don’t let what you cannot do interfere with what you can do.”,John Wooden
“The only thing standing between you and your goal is the story you keep telling yourself as to why you can't achieve it.”,Jordan Belfort
“Do not wait to strike till the iron is hot; but make it hot by striking.”,William Butler Yeats
“The only limit to our realization of tomorrow is our doubts of today.”,Franklin D. Roosevelt
“The best way to predict the future is to create it.”,Abraham Lincoln
"“It’s not whether you get knocked down, it’s whether you get up.”",Vince Lombardi
“The best revenge is massive success.”,Frank Sinatra
“The difference between a stumbling block and a stepping stone is how high you raise your foot.”,Benny Lewis
“If you want to achieve greatness stop asking for permission.”,Anonymous
“Motivation is what gets you started. Habit is what keeps you going.”,Jim Ryun
“Success is the sum of small efforts repeated day in and day out.”,Robert Collier
“Don’t watch the clock; do what it does. Keep going.”,Sam Levenson
“The only thing standing in the way between you and your goal is the story you keep telling yourself as to why you can’t achieve it.”,Jordan Belfort
“Failure is the condiment that gives success its flavor.”,Truman Capote
“Nothing is impossible. The word itself says 'I’m possible!'”,Audrey Hepburn
“Believe you can and you’re halfway there.”,Theodore Roosevelt
"“You don’t have to see the whole staircase, just take the first step.”",Martin Luther King Jr.
“Great things never come from comfort zones.”,Neil Strauss
Darkness cannot drive out darkness; only light can do that. Hate cannot drive out hate; only love can do that.,Martin Luther King Jr.
"Imagination is more important than knowledge. For knowledge is limited, whereas imagination embraces the entire world, stimulating progress, giving birth to evolution.",Albert Einstein
"The more you love your decisions, the less you need others to love them.",Iman Gadzhi
Don't let small minds convince you that your dreams are too big.,Iman Gadzhi
Your vibe attracts your tribe.,Iman Gadzhi
Turn your cant's into cans and your dreams into plans.,Iman Gadzhi
Grow through what you go through.,Iman Gadzhi
Trust the timing of your life.,Iman Gadzhi
Be somebody who makes everybody feel like a somebody.,Iman Gadzhi
Your life is your message to the world. Make sure it's inspiring.,Iman Gadzhi
Be so good they can't ignore you.,Steve Martin
"Your time is limited, so don't waste it living someone else's life.",Steve Jobs
Every strike brings me closer to the next home run.,Babe Ruth
Believe you can and you're halfway there.,Theodore Roosevelt
"Strive not to be a success, but rather to be of value.",Albert Einstein
I attribute my success to this: I never gave or took any excuse.,Florence Nightingale
You miss 100% of the shots you don't take.,Wayne Gretzky
You become what you believe.,Oprah Winfrey
"I have not failed. I've just found 10,000 ways that won't work.",Thomas A. Edison
The only limit to our realization of tomorrow will be our doubts of today.,Franklin D. Roosevelt
Try to be a rainbow in someone's cloud.,Maya Angelou
"If opportunity doesn't knock, build a door.",Milton Berle
The best revenge is massive success.,Frank Sinatra
The secret of getting ahead is getting started.,Mark Twain
Turn your wounds into wisdom.,Oprah Winfrey
"Stay hungry, stay foolish.",Steve Jobs
You must be the change you wish to see in the world.,Mahatma Gandhi
Change your thoughts and you change your world.,Norman Vincent Peale
The best way to predict the future is to create it.,Abraham Lincoln
Keep your face always toward the sunshine—and shadows will fall behind you.,Walt Whitman
"Whatever you are, be a good one.",Abraham Lincoln
"Success is not how high you have climbed, but how you make a positive difference to the world.",Roy T. Bennett
Life is what happens when you're busy making other plans.,John Lennon
Spread love everywhere you go. Let no one ever come to you without leaving happier.,Mother Teresa
In the middle of every difficulty lies opportunity.,Albert Einstein
Where there is love there is life.,Mahatma Gandhi
The future belongs to those who believe in the beauty of their dreams.,Eleanor Roosevelt
Challenges are what make life interesting and overcoming them is what makes life meaningful.,Joshua J. Marine
Do one thing every day that scares you.,Eleanor Roosevelt
"In the end, we only regret the chances we didn't take.",Lewis Carroll
